"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MUC5B-AS1",1016.69446900968,6.01508605926166,1.18918243788888,5.05816926622301,4.23300625782013e-07,0.000157193058700489
"ZNF534",8.86977087822499,-5.9249328601365,1.1732561336924,-5.04999095252108,4.41830990241759e-07,0.00016124545811116
"TXLNGY",476.3448193969,10.9571580649514,2.1890504103346,5.00543889406208,5.57348919624739e-07,0.000199956009859269
"IGKV1-27",438.220236224573,8.77380282266293,1.75760995661366,4.99189412852848,5.97900277857737e-07,0.00020810695698913
"MAP4K1",198.798190773105,5.46520192189956,1.09494482972782,4.99130346435639,5.9973186452199e-07,0.00020810695698913
"APOC1",487.856080363278,5.88519580176288,1.18185030728541,4.97964570088457,6.37007810041494e-07,0.000217476521212069
"CYP2C9",249.010617718793,8.39301089942767,1.69046783600979,4.96490422393287,6.87349820802141e-07,0.000230938629474904
"IGHJ5",219.705290489669,8.31723396204278,1.68684906274798,4.93063318213753,8.19635142149091e-07,0.000271035686388075
"IGKV3D-15",308.820133106895,8.53035246895481,1.73112441215212,4.92763686369021,8.32301205424711e-07,0.000271035686388075
"CDKN2A",42.4793740277819,6.62015952295623,1.3479047782965,4.91144450969519,9.04078739657552e-07,0.000289949010338355
"CYP2C19",269.435236277682,8.43683629043951,1.73769792757074,4.85518003824405,1.20277415352088e-06,0.00037998687324741
"IGKV2D-30",177.071601740891,8.04753406678828,1.66089525460273,4.84529897023106,1.26421161786939e-06,0.00039352304875649
"IGLL5",2909.4934078608,5.89314032272631,1.21792329177559,4.83867938360455,1.30704696008921e-06,0.000395232328631548
"SPMIP1",5.28259210877277,-4.52076689211105,0.934193189929953,-4.83922056041751,1.30349325112873e-06,0.000395232328631548
"JCHAIN",1607.02510539617,5.70698091503509,1.18215321559156,4.82761526997096,1.38177710609931e-06,0.000411944732462029
"CYP4F11",163.873052702563,7.66874965557427,1.59146839227338,4.81866287310905,1.44523519040188e-06,0.000413395855070764
"IGLC1",2881.71191420524,5.85935548624294,1.21515612015693,4.82189521909846,1.42200641033507e-06,0.000413395855070764
"MYH1",48.9086900425677,6.8939098340417,1.43023680442114,4.82011776842217,1.43473499798962e-06,0.000413395855070764
"IGHV3-23",824.083469015122,6.52802641726035,1.36636278048405,4.77766703726202,1.77340716939134e-06,0.000500502794060088
"STRA6",477.242357509338,7.95033059950058,1.6658260081494,4.77260563864816,1.81857665694117e-06,0.000506497527598339
"IGLC2",8673.30556749922,5.35811058611319,1.1242483915473,4.76594907886754,1.87966731096652e-06,0.000516713220405564
"DUOX2",4573.28367706647,5.90629960370794,1.24295516353594,4.75182032061863,2.01593479752926e-06,0.000547067844350025
